time	V(vin)	V(vout)
5.696393750149504e-03	-9.438111e-03	3.327332e+00
5.715925000149504e-03	-9.771681e-03	3.330055e+00
5.735456250149503e-03	-9.958277e-03	3.331515e+00
5.754987500149503e-03	-9.995090e-03	3.331688e+00
5.774518750149503e-03	-9.881568e-03	3.330573e+00
5.794050000149502e-03	-9.619419e-03	3.328186e+00
5.813581250149502e-03	-9.212584e-03	3.324562e+00
5.833112500149501e-03	-8.667183e-03	3.319754e+00
5.852643750149501e-03	-7.991420e-03	3.313834e+00
5.881940625149500e-03	-6.756079e-03	3.303065e+00
5.911237500149500e-03	-5.292457e-03	3.290351e+00
5.940534375149499e-03	-3.650007e-03	3.276119e+00
5.969831250149498e-03	-1.884227e-03	3.260844e+00
5.980991964435213e-03	-1.182889e-03	3.254784e+00
5.992152678720926e-03	-4.842823e-04	3.248750e+00
6.003313393006641e-03	2.115940e-04	3.242743e+00
6.014474107292354e-03	9.047394e-04	3.236762e+00
6.025634821578069e-03	1.595154e-03	3.230808e+00
6.036795535863782e-03	2.282838e-03	3.224881e+00
6.047956250149497e-03	2.967791e-03	3.218981e+00
6.077253125149496e-03	4.665584e-03	3.204373e+00
6.106550000149496e-03	6.205732e-03	3.191152e+00
6.135846875149495e-03	7.536193e-03	3.179767e+00
6.155378125149494e-03	8.284137e-03	3.173393e+00
6.174909375149494e-03	8.907478e-03	3.168107e+00
6.194440625149494e-03	9.396845e-03	3.163990e+00
6.213971875149493e-03	9.744872e-03	3.161106e+00
6.233503125149493e-03	9.946329e-03	3.159497e+00
6.253034375149492e-03	9.998183e-03	3.159189e+00
6.272565625149492e-03	9.899654e-03	3.160186e+00
6.292096875149492e-03	9.652227e-03	3.162472e+00
6.311628125149491e-03	9.259621e-03	3.166014e+00
6.331159375149491e-03	8.727740e-03	3.170757e+00
6.350690625149490e-03	8.064588e-03	3.176628e+00
6.379987500149490e-03	6.846044e-03	3.187350e+00
6.409284375149489e-03	5.396178e-03	3.200038e+00
6.438581250149488e-03	3.763981e-03	3.214259e+00
6.467878125149488e-03	2.004603e-03	3.229529e+00
6.479038839435202e-03	1.304639e-03	3.235588e+00
6.490199553720916e-03	6.068068e-04	3.241621e+00
6.501360268006630e-03	-8.889382e-05	3.247627e+00
6.512520982292344e-03	-7.824629e-04	3.253606e+00
6.523681696578058e-03	-1.473900e-03	3.259559e+00
6.534842410863772e-03	-2.163206e-03	3.265485e+00
6.546003125149486e-03	-2.850381e-03	3.271384e+00
6.575300000149486e-03	-4.556692e-03	3.285993e+00
6.604596875149485e-03	-6.109037e-03	3.299228e+00
6.633893750149484e-03	-7.454963e-03	3.310646e+00
6.653425000149484e-03	-8.214778e-03	3.317058e+00
6.672956250149483e-03	-8.851035e-03	3.322396e+00
6.692487500149483e-03	-9.354163e-03	3.326582e+00
6.712018750149483e-03	-9.716596e-03	3.329555e+00
6.731550000149482e-03	-9.932882e-03	3.331270e+00
6.751081250149482e-03	-9.999769e-03	3.331701e+00
6.770612500149481e-03	-9.916251e-03	3.330843e+00
6.790143750149481e-03	-9.683581e-03	3.328708e+00
6.809675000149481e-03	-9.305263e-03	3.325328e+00
6.829206250149480e-03	-8.786984e-03	3.320752e+00
6.848737500149480e-03	-8.136541e-03	3.315048e+00
6.878034375149479e-03	-6.934977e-03	3.304566e+00
6.907331250149478e-03	-5.499087e-03	3.292089e+00
6.936628125149478e-03	-3.877388e-03	3.278032e+00
6.965925000149477e-03	-2.124676e-03	3.262868e+00
6.977085714435192e-03	-1.426192e-03	3.256831e+00
6.988246428720905e-03	-7.292399e-04	3.250810e+00
6.999407143006620e-03	-3.381973e-05	3.244806e+00
7.010567857292333e-03	6.600685e-04	3.238818e+00
7.021728571578048e-03	1.352425e-03	3.232846e+00
7.032889285863761e-03	2.043249e-03	3.226891e+00
7.044050000149476e-03	2.732541e-03	3.220952e+00
7.073346875149475e-03	4.447114e-03	3.206197e+00
7.102643750149474e-03	6.011423e-03	3.192763e+00
7.131940625149474e-03	7.372611e-03	3.181109e+00
7.151471875149473e-03	8.144182e-03	3.174529e+00
7.171003125149473e-03	8.793256e-03	3.169019e+00
7.190534375149472e-03	9.310072e-03	3.164663e+00
7.210065625149472e-03	9.686857e-03	3.161528e+00
7.229596875149472e-03	9.917941e-03	3.159661e+00
7.249128125149471e-03	9.999850e-03	3.159092e+00
7.268659375149471e-03	9.931352e-03	3.159828e+00
7.288190625149470e-03	9.713477e-03	3.161859e+00
7.307721875149470e-03	9.349504e-03	3.165154e+00
7.327253125149469e-03	8.844904e-03	3.169662e+00
7.346784375149469e-03	8.207269e-03	3.175314e+00
7.376081250149468e-03	7.022867e-03	3.185745e+00
7.405378125149468e-03	5.601168e-03	3.198195e+00
7.434675000149467e-03	3.990212e-03	3.212239e+00
7.463971875149467e-03	2.244430e-03	3.227398e+00
7.475132589435181e-03	1.547530e-03	3.233434e+00
7.486293303720895e-03	8.515632e-04	3.239453e+00
7.497454018006609e-03	1.565282e-04	3.245456e+00
7.508614732292323e-03	-5.375747e-04	3.251443e+00
7.519775446578037e-03	-1.230746e-03	3.257414e+00
7.530936160863750e-03	-1.922984e-03	3.263368e+00
7.542096875149465e-03	-2.614291e-03	3.269306e+00
7.571393750149464e-03	-4.336866e-03	3.284062e+00
7.600690625149464e-03	-5.912903e-03	3.297507e+00
7.629987500149463e-03	-7.289148e-03	3.309191e+00
7.649518750149463e-03	-8.072359e-03	3.315807e+00
7.669050000149462e-03	-8.734155e-03	3.321367e+00
7.688581250149462e-03	-9.264580e-03	3.325789e+00
7.708112500149461e-03	-9.655658e-03	3.329009e+00
7.727643750149461e-03	-9.901505e-03	3.330977e+00
7.747175000149461e-03	-9.998425e-03	3.331666e+00
7.766706250149460e-03	-9.944959e-03	3.331066e+00
7.786237500149460e-03	-9.741911e-03	3.329185e+00
7.805768750149459e-03	-9.392336e-03	3.326050e+00
7.825300000149459e-03	-8.901492e-03	3.321709e+00
