Freq.	V(vout)/(V(vp)-V(vm))	(V(vp)-V(vm))/(I(R1)-I(R4))
1.94984459975803e+03	(3.98346666435876e+01dB,1.68859169811542e+02°)	(4.02517625520389e+01dB,-1.68859169811547e+02°)
1.99526231496886e+03	(3.98270318700295e+01dB,1.68606379691565e+02°)	(4.02593973255970e+01dB,-1.68606379691570e+02°)
2.04173794466951e+03	(3.98190516400856e+01dB,1.68348165916576e+02°)	(4.02673775555409e+01dB,-1.68348165916581e+02°)
2.08929613085402e+03	(3.98107110004747e+01dB,1.68084433552977e+02°)	(4.02757181951518e+01dB,-1.68084433552983e+02°)
2.13796208950221e+03	(3.98019944130823e+01dB,1.67815087490148e+02°)	(4.02844347825442e+01dB,-1.67815087490155e+02°)
2.18776162394953e+03	(3.97928857378242e+01dB,1.67540032557934e+02°)	(4.02935434578023e+01dB,-1.67540032557940e+02°)
2.23872113856832e+03	(3.97833682155533e+01dB,1.67259173652952e+02°)	(4.03030609800732e+01dB,-1.67259173652958e+02°)
2.29086765276775e+03	(3.97734244510727e+01dB,1.66972415874121e+02°)	(4.03130047445538e+01dB,-1.66972415874128e+02°)
2.34422881531990e+03	(3.97630363963250e+01dB,1.66679664667753e+02°)	(4.03233927993015e+01dB,-1.66679664667760e+02°)
2.39883291901947e+03	(3.97521853338358e+01dB,1.66380825982585e+02°)	(4.03342438617908e+01dB,-1.66380825982592e+02°)
2.45470891568501e+03	(3.97408518604934e+01dB,1.66075806435103e+02°)	(4.03455773351331e+01dB,-1.66075806435111e+02°)
2.51188643150955e+03	(3.97290158717576e+01dB,1.65764513485491e+02°)	(4.03574133238690e+01dB,-1.65764513485498e+02°)
