Freq.	V(vout)	V(n003)
8.70963589956068e+002	(1.34109524436498e-001dB,-1.18685333260779e+001°)	(1.34629733636635e-001dB,-1.12414645793166e+001°)
8.91250938133733e+002	(1.40290825550403e-001dB,-1.21602670097106e+001°)	(1.40835549917355e-001dB,-1.15185931628713e+001°)
9.12010839355897e+002	(1.46747817622976e-001dB,-1.24595763995880e+001°)	(1.47318212372640e-001dB,-1.18029573425308e+001°)
9.33254300796978e+002	(1.53491889965488e-001dB,-1.27667020851460e+001°)	(1.54089164743101e-001dB,-1.20947897917223e+001°)
9.54992586021422e+002	(1.60534800239815e-001dB,-1.30818947886352e+001°)	(1.61160221683756e-001dB,-1.23943331327415e+001°)
9.77237220955797e+002	(1.67888673489027e-001dB,-1.34054159395650e+001°)	(1.68543567915292e-001dB,-1.27018405069437e+001°)
9.99999999999986e+002	(1.75565999043135e-001dB,-1.37375382874598e+001°)	(1.76251755256215e-001dB,-1.30175761831502e+001°)
1.02329299228074e+003	(1.83579624956118e-001dB,-1.40785465557350e+001°)	(1.84297697192156e-001dB,-1.33418162070754e+001°)
1.04712854805088e+003	(1.91942749570590e-001dB,-1.44287381391768e+001°)	(1.92694660579102e-001dB,-1.36748490942567e+001°)
1.07151930523759e+003	(2.00668909778912e-001dB,-1.47884238487138e+001°)	(2.01456254049520e-001dB,-1.40169765701729e+001°)
1.09647819614317e+003	(2.09771965456040e-001dB,-1.51579287060210e+001°)	(2.10596412597093e-001dB,-1.43685143600900e+001°)
1.12201845430195e+003	(2.19266079498859e-001dB,-1.55375927918043e+001°)	(2.20129377775032e-001dB,-1.47297930324794e+001°)
1.14815362149687e+003	(2.29165692819480e-001dB,-1.59277721513392e+001°)	(2.30069672855856e-001dB,-1.51011588995807e+001°)
1.17489755493951e+003	(2.39485493545839e-001dB,-1.63288397608360e+001°)	(2.40432072206268e-001dB,-1.54829749786782e+001°)
1.20226443461740e+003	(2.50240379599965e-001dB,-1.67411865589095e+001°)	(2.51231564047913e-001dB,-1.58756220183683e+001°)
1.23026877081236e+003	(2.61445413693492e-001dB,-1.71652225469516e+001°)	(2.62483305643930e-001dB,-1.62794995936114e+001°)
1.25892541179415e+003	(2.73115769682928e-001dB,-1.76013779633028e+001°)	(2.74202569854237e-001dB,-1.66950272744646e+001°)
1.28824955169311e+003	(2.85266669043177e-001dB,-1.80501045349194e+001°)	(2.86404681818475e-001dB,-1.71226458721875e+001°)
1.31825673855639e+003	(2.97913306105813e-001dB,-1.85118768118623e+001°)	(2.99104944413504e-001dB,-1.75628187680456e+001°)
1.34896288259163e+003	(3.11070760483491e-001dB,-1.89871935886405e+001°)	(3.12318550907369e-001dB,-1.80160333288406e+001°)
1.38038426460286e+003	(3.24753894934225e-001dB,-1.94765794175295e+001°)	(3.26060483063855e-001dB,-1.84828024142877e+001°)
1.41253754462273e+003	(3.38977236660430e-001dB,-1.99805862180741e+001°)	(3.40345392693119e-001dB,-1.89636659804436e+001°)
1.44543977074591e+003	(3.53754839795508e-001dB,-2.04997949873004e+001°)	(3.55187464401664e-001dB,-1.94591927837103e+001°)
1.47910838816819e+003	(3.69100126543505e-001dB,-2.10348176149250e+001°)	(3.70600257007688e-001dB,-1.99699821896977e+001°)
1.51356124843619e+003	(3.85025704093352e-001dB,-2.15862988069202e+001°)	(3.86596520744011e-001dB,-2.04966660903030e+001°)
1.54881661891246e+003	(4.01543154084779e-001dB,-2.21549181206827e+001°)	(4.03187987026168e-001dB,-2.10399109322507e+001°)
1.58489319246109e+003	(4.18662790983470e-001dB,-2.27413921138049e+001°)	(4.20385127143897e-001dB,-2.16004198590891e+001°)
1.62181009735891e+003	(4.36393385274339e-001dB,-2.33464766073731e+001°)	(4.38196875785600e-001dB,-2.21789349675663e+001°)
