time,V(vout3),V(vp)-V(vm)
1.781372689489456e-003,3.219710e+000,-6.932706e-003
1.786953046632313e-003,3.222226e+000,-6.879987e-003
1.792533403775170e-003,3.223862e+000,-6.818723e-003
1.798113760918027e-003,3.224618e+000,-6.748915e-003
1.802299028775169e-003,3.224592e+000,-6.691140e-003
1.806484296632312e-003,3.224069e+000,-6.628849e-003
1.810669564489455e-003,3.223047e+000,-6.562043e-003
1.814854832346598e-003,3.221527e+000,-6.490722e-003
1.819040100203740e-003,3.219509e+000,-6.414885e-003
1.823225368060883e-003,3.216993e+000,-6.334533e-003
1.827410635918026e-003,3.213979e+000,-6.249666e-003
1.832990993060883e-003,3.209177e+000,-6.129528e-003
1.838571350203740e-003,3.203525e+000,-6.002285e-003
1.844151707346597e-003,3.197024e+000,-5.867939e-003
1.849732064489454e-003,3.189673e+000,-5.726488e-003
1.855312421632311e-003,3.181473e+000,-5.577934e-003
1.860892778775168e-003,3.172423e+000,-5.422276e-003
1.866473135918025e-003,3.162524e+000,-5.259514e-003
1.872053493060882e-003,3.151797e+000,-5.090052e-003
1.877633850203739e-003,3.140309e+000,-4.914907e-003
1.883214207346596e-003,3.128059e+000,-4.734078e-003
1.888794564489453e-003,3.115048e+000,-4.547567e-003
1.894374921632310e-003,3.101276e+000,-4.355372e-003
1.899955278775167e-003,3.086742e+000,-4.157495e-003
1.905535635918024e-003,3.071447e+000,-3.953934e-003
1.915301260918024e-003,3.042766e+000,-3.583456e-003
1.925066885918024e-003,3.012353e+000,-3.203149e-003
1.934832510918024e-003,2.980208e+000,-2.813013e-003
1.944598135918023e-003,2.946331e+000,-2.413049e-003
1.954363760918023e-003,2.910722e+000,-2.003256e-003
1.964129385918023e-003,2.873382e+000,-1.583635e-003
1.973895010918023e-003,2.834310e+000,-1.154184e-003
1.979475368060880e-003,2.811525e+000,-9.083748e-004
1.985055725203737e-003,2.788432e+000,-6.621565e-004
1.990636082346594e-003,2.765029e+000,-4.155295e-004
1.996216439489451e-003,2.741318e+000,-1.684938e-004
2.001796796632308e-003,2.717297e+000,7.895061e-005
2.007377153775165e-003,2.692968e+000,3.268038e-004
2.012957510918022e-003,2.668329e+000,5.750656e-004
2.019932957346593e-003,2.637186e+000,8.845427e-004
2.026908403775164e-003,2.605934e+000,1.190906e-003
2.033883850203736e-003,2.574571e+000,1.494155e-003
2.040859296632307e-003,2.543099e+000,1.794290e-003
2.047834743060879e-003,2.511516e+000,2.091310e-003
2.054810189489450e-003,2.479824e+000,2.385217e-003
2.061785635918021e-003,2.448021e+000,2.676010e-003
2.071551260918021e-003,2.403494e+000,3.075697e-003
2.081316885918021e-003,2.359739e+000,3.460320e-003
2.091082510918020e-003,2.316755e+000,3.829878e-003
2.100848135918020e-003,2.274543e+000,4.184373e-003
2.110613760918020e-003,2.233104e+000,4.523803e-003
2.120379385918020e-003,2.192436e+000,4.848169e-003
2.130145010918020e-003,2.152540e+000,5.157471e-003
2.140608180560877e-003,2.111289e+000,5.466753e-003
2.151071350203733e-003,2.072121e+000,5.749644e-003
2.161534519846590e-003,2.035035e+000,6.006144e-003
2.171997689489447e-003,2.000031e+000,6.236252e-003
2.182460859132304e-003,1.967109e+000,6.439968e-003
2.192924028775161e-003,1.936269e+000,6.617293e-003
2.203387198418018e-003,1.907512e+000,6.768227e-003
2.208967555560875e-003,1.893377e+000,6.835928e-003
2.214547912703732e-003,1.880027e+000,6.895026e-003
2.220128269846589e-003,1.867463e+000,6.945522e-003
2.225708626989446e-003,1.855685e+000,6.987416e-003
2.231288984132303e-003,1.844692e+000,7.020707e-003
2.236869341275160e-003,1.834485e+000,7.045396e-003
2.242449698418017e-003,1.825063e+000,7.061481e-003
2.249425144846589e-003,1.814467e+000,7.069257e-003
2.256400591275160e-003,1.805227e+000,7.063564e-003
2.263376037703731e-003,1.797342e+000,7.044403e-003
2.270351484132302e-003,1.790814e+000,7.011774e-003
2.277326930560874e-003,1.785642e+000,6.965676e-003
2.284302376989445e-003,1.781826e+000,6.906110e-003
2.291277823418016e-003,1.779366e+000,6.833076e-003
2.296160635918016e-003,1.778491e+000,6.774080e-003
2.301043448418016e-003,1.778295e+000,6.708875e-003
2.305926260918016e-003,1.778778e+000,6.637461e-003
2.310809073418016e-003,1.779941e+000,6.559839e-003
2.315691885918016e-003,1.781782e+000,6.476008e-003
2.320574698418015e-003,1.784302e+000,6.385969e-003
2.325457510918015e-003,1.787501e+000,6.289721e-003
2.330340323418015e-003,1.791382e+000,6.187600e-003
2.335223135918015e-003,1.795918e+000,6.079873e-003
2.340105948418015e-003,1.801111e+000,5.966542e-003
2.344988760918015e-003,1.806959e+000,5.847605e-003
2.349871573418015e-003,1.813463e+000,5.723063e-003
2.354754385918015e-003,1.820623e+000,5.592915e-003
2.359637198418015e-003,1.828438e+000,5.457163e-003
2.365915100203729e-003,1.839451e+000,5.274996e-003
2.372193001989443e-003,1.851442e+000,5.085376e-003
2.378470903775157e-003,1.864412e+000,4.888301e-003
2.384748805560871e-003,1.878361e+000,4.683772e-003
2.391026707346586e-003,1.893288e+000,4.471789e-003
2.397304609132300e-003,1.909194e+000,4.252351e-003
2.403582510918014e-003,1.926080e+000,4.025459e-003
2.413348135918013e-003,1.954337e+000,3.657866e-003
2.423113760918013e-003,1.984351e+000,3.280153e-003
2.432879385918013e-003,2.016123e+000,2.892319e-003
2.442645010918013e-003,2.049652e+000,2.494364e-003
2.452410635918013e-003,2.084938e+000,2.086289e-003
2.462176260918012e-003,2.121982e+000,1.668093e-003
2.471941885918012e-003,2.160783e+000,1.239777e-003
2.477522243060869e-003,2.183427e+000,9.943125e-004
2.483102600203726e-003,2.206390e+000,7.483813e-004
2.488682957346583e-003,2.229672e+000,5.019830e-004
2.494263314489440e-003,2.253274e+000,2.551176e-004
2.499843671632297e-003,2.277195e+000,7.785096e-006
2.505424028775154e-003,2.301435e+000,-2.400145e-004
2.511004385918011e-003,2.325994e+000,-4.882813e-004
2.517282287703726e-003,2.353908e+000,-7.671483e-004
2.523560189489440e-003,2.381941e+000,-1.043738e-003
2.529838091275154e-003,2.410095e+000,-1.318051e-003
2.536115993060868e-003,2.438368e+000,-1.590086e-003
2.542393894846582e-003,2.466762e+000,-1.859845e-003
2.548671796632296e-003,2.495275e+000,-2.127326e-003
2.554949698418010e-003,2.523908e+000,-2.392530e-003
2.563320234132296e-003,2.562134e+000,-2.741123e-003
2.571690769846582e-003,2.599935e+000,-3.079886e-003
2.580061305560867e-003,2.637310e+000,-3.408821e-003
2.588431841275152e-003,2.674259e+000,-3.727927e-003
2.596802376989438e-003,2.710783e+000,-4.037205e-003
2.605172912703724e-003,2.746881e+000,-4.336654e-003
2.613543448418009e-003,2.782554e+000,-4.626274e-003
2.624704162703723e-003,2.829060e+000,-4.993142e-003
2.635864876989437e-003,2.873440e+000,-5.331691e-003
2.647025591275151e-003,2.915696e+000,-5.641923e-003
2.658186305560866e-003,2.955828e+000,-5.923836e-003
2.669347019846580e-003,2.993835e+000,-6.177430e-003
2.680507734132294e-003,3.029716e+000,-6.402707e-003
2.691668448418008e-003,3.063474e+000,-6.599665e-003
2.697946350203722e-003,3.081044e+000,-6.694813e-003
2.704224251989436e-003,3.097653e+000,-6.779238e-003
2.710502153775150e-003,3.113301e+000,-6.852938e-003
2.716780055560864e-003,3.127986e+000,-6.915915e-003
2.723057957346578e-003,3.141710e+000,-6.968167e-003
2.729335859132293e-003,3.154471e+000,-7.009696e-003
2.735613760918007e-003,3.166271e+000,-7.040501e-003
2.741891662703721e-003,3.177012e+000,-7.060265e-003
2.748169564489435e-003,3.186670e+000,-7.069014e-003
2.754447466275149e-003,3.195244e+000,-7.066746e-003
2.760725368060863e-003,3.202735e+000,-7.053463e-003
2.767003269846578e-003,3.209142e+000,-7.029164e-003
2.773281171632292e-003,3.214465e+000,-6.993848e-003
2.779559073418006e-003,3.218705e+000,-6.947517e-003
2.785836975203720e-003,3.221803e+000,-6.890487e-003
2.792114876989434e-003,3.223778e+000,-6.823005e-003
2.798392778775148e-003,3.224629e+000,-6.745071e-003
2.804670680560862e-003,3.224358e+000,-6.656686e-003
2.810948582346577e-003,3.222963e+000,-6.557849e-003
2.817226484132291e-003,3.220445e+000,-6.448561e-003
2.823504385918005e-003,3.216804e+000,-6.328821e-003
2.827689653775147e-003,3.213753e+000,-6.243608e-003
2.831874921632290e-003,3.210216e+000,-6.154250e-003
2.836060189489433e-003,3.206193e+000,-6.060746e-003
2.840245457346576e-003,3.201686e+000,-5.963097e-003
2.844430725203719e-003,3.196693e+000,-5.861302e-003
2.848615993060862e-003,3.191214e+000,-5.755361e-003
2.852801260918004e-003,3.185250e+000,-5.645275e-003
2.858381618060861e-003,3.176541e+000,-5.492094e-003
2.863961975203718e-003,3.167035e+000,-5.332684e-003
2.869542332346575e-003,3.156730e+000,-5.167046e-003
2.875122689489432e-003,3.145628e+000,-4.995181e-003
2.880703046632289e-003,3.133729e+000,-4.817087e-003
2.886283403775146e-003,3.121031e+000,-4.632765e-003
2.891863760918003e-003,3.107536e+000,-4.442215e-003
2.900234296632289e-003,3.085778e+000,-4.144620e-003
2.908604832346574e-003,3.062577e+000,-3.837800e-003
2.916975368060860e-003,3.037932e+000,-3.521754e-003
2.925345903775145e-003,3.011843e+000,-3.196483e-003
2.933716439489431e-003,2.984311e+000,-2.861986e-003
2.942086975203716e-003,2.955335e+000,-2.518265e-003
2.950457510918002e-003,2.924915e+000,-2.165318e-003
2.958130501989430e-003,2.895990e+000,-1.836563e-003
2.965803493060859e-003,2.866326e+000,-1.505472e-003
2.973476484132287e-003,2.835922e+000,-1.172046e-003
2.981149475203716e-003,2.804779e+000,-8.362848e-004
2.988822466275144e-003,2.772897e+000,-4.981878e-004
2.996495457346573e-003,2.740275e+000,-1.577552e-004
3.004168448418001e-003,2.706914e+000,1.850128e-004
3.009748805560858e-003,2.682404e+000,4.334401e-004
3.015329162703715e-003,2.657747e+000,6.805634e-004
3.020909519846572e-003,2.632945e+000,9.263827e-004
3.026489876989429e-003,2.607997e+000,1.170898e-003
3.032070234132286e-003,2.582902e+000,1.414109e-003
3.037650591275143e-003,2.557661e+000,1.656017e-003
3.043230948418000e-003,2.532274e+000,1.896620e-003
3.050206394846571e-003,2.500436e+000,2.194658e-003
3.057181841275142e-003,2.468751e+000,2.487071e-003
3.064157287703714e-003,2.437219e+000,2.773859e-003
3.071132734132285e-003,2.405841e+000,3.055023e-003
