Freq.,V(vout3)/(V(vp)-V(vm))
2.13796208950222e+000,(4.08210057212043e+001dB,-1.44928744910523e+002°)
2.18776162394954e+000,(4.07969802810100e+001dB,-1.45949719734397e+002°)
2.23872113856832e+000,(4.07729257149056e+001dB,-1.46933188479523e+002°)
2.29086765276776e+000,(4.07489584068533e+001dB,-1.47880849169223e+002°)
2.34422881531990e+000,(4.07251775891262e+001dB,-1.48794328560853e+002°)
2.39883291901947e+000,(4.07016672887924e+001dB,-1.49675181593230e+002°)
2.45470891568501e+000,(4.06784980917786e+001dB,-1.50524891731751e+002°)
2.51188643150956e+000,(4.06557287304393e+001dB,-1.51344872015886e+002°)
2.57039578276884e+000,(4.06334075131654e+001dB,-1.52136466645841e+002°)
2.63026799189536e+000,(4.06115736023470e+001dB,-1.52900952972882e+002°)
2.69153480392690e+000,(4.05902581591590e+001dB,-1.53639543782055e+002°)
2.75422870333815e+000,(4.05694853608910e+001dB,-1.54353389776198e+002°)
2.81838293126443e+000,(4.05492733064396e+001dB,-1.55043582187979e+002°)
2.88403150312658e+000,(4.05296348217641e+001dB,-1.55711155460807e+002°)
2.95120922666636e+000,(4.05105781722101e+001dB,-1.56357089952033e+002°)
3.01995172040199e+000,(4.04921076912035e+001dB,-1.56982314621796e+002°)
3.09029543251357e+000,(4.04742243391302e+001dB,-1.57587709679323e+002°)
3.16227766016835e+000,(4.04569261929518e+001dB,-1.58174109165322e+002°)
3.23593656929626e+000,(4.04402088790493e+001dB,-1.58742303454743e+002°)
3.31131121482589e+000,(4.04240659543131e+001dB,-1.59293041668632e+002°)
3.38844156139200e+000,(4.04084892384955e+001dB,-1.59827033987633e+002°)
3.46736850452529e+000,(4.03934691087523e+001dB,-1.60344953862391e+002°)
3.54813389233573e+000,(4.03789947561832e+001dB,-1.60847440118650e+002°)
3.63078054770098e+000,(4.03650544081244e+001dB,-1.61335098956477e+002°)
3.71535229097170e+000,(4.03516355260294e+001dB,-1.61808505844552e+002°)
3.80189396320558e+000,(4.03387249742048e+001dB,-1.62268207311454e+002°)
3.89045144994278e+000,(4.03263091692212e+001dB,-1.62714722636811e+002°)
3.98107170553494e+000,(4.03143742064110e+001dB,-1.63148545445562e+002°)
4.07380277804109e+000,(4.03029059730126e+001dB,-1.63570145209201e+002°)
4.16869383470332e+000,(4.02918902418539e+001dB,-1.63979968657926e+002°)
4.26579518801589e+000,(4.02813127552273e+001dB,-1.64378441107943e+002°)
4.36515832240162e+000,(4.02711592932574e+001dB,-1.64765967708148e+002°)
4.46683592150959e+000,(4.02614157348133e+001dB,-1.65142934610381e+002°)
4.57088189614871e+000,(4.02520681082526e+001dB,-1.65509710067541e+002°)
4.67735141287194e+000,(4.02431026340162e+001dB,-1.65866645463494e+002°)
4.78630092322634e+000,(4.02345057577700e+001dB,-1.66214076278950e+002°)
4.89778819368442e+000,(4.02262641836899e+001dB,-1.66552322996842e+002°)
5.01187233627268e+000,(4.02183648947602e+001dB,-1.66881691951163e+002°)
5.12861383991361e+000,(4.02107951741846e+001dB,-1.67202476122558e+002°)
5.24807460249768e+000,(4.02035426188779e+001dB,-1.67514955884067e+002°)
5.37031796370248e+000,(4.01965951509163e+001dB,-1.67819399700174e+002°)
