time	V(vout3)
2.040539003340960e-003	2.608992e+000
2.047514449769531e-003	2.577737e+000
2.054489896198102e-003	2.546485e+000
2.061465342626673e-003	2.515238e+000
2.068440789055245e-003	2.483994e+000
2.075416235483816e-003	2.452755e+000
2.082391681912387e-003	2.421519e+000
2.089367128340959e-003	2.390287e+000
2.101225387269530e-003	2.337288e+000
2.113083646198101e-003	2.285887e+000
2.124941905126672e-003	2.236085e+000
2.136800164055243e-003	2.187883e+000
2.148658422983815e-003	2.141278e+000
2.160516681912385e-003	2.096273e+000
2.172374940840957e-003	2.052866e+000
2.180047931912385e-003	2.026386e+000
2.187720922983814e-003	2.001148e+000
2.195393914055242e-003	1.977152e+000
2.203066905126670e-003	1.954400e+000
2.210739896198099e-003	1.932889e+000
2.218412887269527e-003	1.912622e+000
2.226085878340956e-003	1.893597e+000
2.230968690840956e-003	1.882282e+000
2.235851503340955e-003	1.871574e+000
2.240734315840955e-003	1.861473e+000
2.245617128340955e-003	1.851978e+000
2.250499940840955e-003	1.843089e+000
2.255382753340955e-003	1.834807e+000
2.260265565840955e-003	1.827132e+000
2.265503428836682e-003	1.819615e+000
2.270741291832410e-003	1.812841e+000
2.275979154828137e-003	1.806809e+000
2.281217017823864e-003	1.801520e+000
2.286454880819592e-003	1.796973e+000
2.291692743815319e-003	1.793168e+000
2.296930606811046e-003	1.790106e+000
2.302132702865743e-003	1.787925e+000
2.311898327865743e-003	1.785668e+000
2.316781140365742e-003	1.785488e+000
2.321663952865742e-003	1.785865e+000
2.323733369053924e-003	1.786217e+000
2.325475462748691e-003	1.786643e+000
2.327720703502535e-003	1.787286e+000
2.327855873107259e-003	1.787331e+000
2.329976014306606e-003	1.788097e+000
2.330002175507670e-003	1.788112e+000
2.330015329635856e-003	1.788134e+000
2.330025443729895e-003	1.788166e+000
2.330033573089277e-003	1.788197e+000
2.330040440480065e-003	1.788220e+000
2.330048077688315e-003	1.788241e+000
2.330060659662151e-003	1.788268e+000
2.330074093920720e-003	1.788293e+000
2.330094177978047e-003	1.788323e+000
2.330119809873066e-003	1.788356e+000
2.330160057229609e-003	1.788399e+000
2.330209036945865e-003	1.788444e+000
2.330264988718517e-003	1.788488e+000
2.330352593701381e-003	1.788549e+000
2.330452642440780e-003	1.788614e+000
2.330587594645187e-003	1.788698e+000
2.330724259119624e-003	1.788779e+000
2.330997588068496e-003	1.788940e+000
2.331164796151375e-003	1.789038e+000
2.331360906525173e-003	1.789153e+000
2.331579033988725e-003	1.789282e+000
2.331845274324550e-003	1.789440e+000
2.332076754904734e-003	1.789576e+000
2.332343242094026e-003	1.789726e+000
2.332686654192633e-003	1.789910e+000
2.333267839645192e-003	1.790215e+000
2.334070161990573e-003	1.790644e+000
2.336132807243831e-003	1.791797e+000
2.338195452497088e-003	1.793065e+000
2.340258097750347e-003	1.794447e+000
2.342320743003605e-003	1.795942e+000
2.344383388256863e-003	1.797552e+000
2.346446033510120e-003	1.799275e+000
2.348508678763378e-003	1.801113e+000
2.354089035906236e-003	1.806589e+000
2.359669393049092e-003	1.812870e+000
2.365249750191950e-003	1.819954e+000
2.370830107334806e-003	1.827841e+000
2.376410464477664e-003	1.836532e+000
2.381990821620520e-003	1.846026e+000
2.387571178763378e-003	1.856324e+000
2.395941714477663e-003	1.873354e+000
2.404312250191949e-003	1.891969e+000
2.412682785906234e-003	1.912167e+000
2.421053321620520e-003	1.933950e+000
2.429423857334805e-003	1.957317e+000
2.437794393049091e-003	1.982268e+000
2.446164928763376e-003	2.008804e+000
2.453837919834805e-003	2.034348e+000
2.461510910906233e-003	2.060816e+000
2.469183901977662e-003	2.088209e+000
2.476856893049090e-003	2.116525e+000
2.484529884120518e-003	2.145766e+000
2.492202875191947e-003	2.175930e+000
2.499875866263375e-003	2.207019e+000
2.504758678763375e-003	2.227106e+000
2.509641491263375e-003	2.247403e+000
2.514524303763375e-003	2.267909e+000
2.519407116263375e-003	2.288626e+000
2.524289928763375e-003	2.309552e+000
2.529172741263375e-003	2.330687e+000
2.534055553763375e-003	2.352033e+000
2.540974927066149e-003	2.382592e+000
2.547894300368924e-003	2.413232e+000
2.554813673671698e-003	2.443953e+000
2.561733046974473e-003	2.474755e+000
2.568652420277248e-003	2.505637e+000
2.575571793580022e-003	2.536600e+000
2.582491166882797e-003	2.567645e+000
2.586065493982927e-003	2.583592e+000
2.589639821083058e-003	2.599478e+000
2.593214148183189e-003	2.615305e+000
2.596788475283320e-003	2.631071e+000
2.600362802383450e-003	2.646777e+000
2.603937129483581e-003	2.662423e+000
2.607511456583712e-003	2.678008e+000
2.612394269083712e-003	2.699135e+000
2.617277081583712e-003	2.720078e+000
2.622159894083711e-003	2.740814e+000
2.627042706583711e-003	2.761323e+000
2.631925519083711e-003	2.781584e+000
2.637505876226568e-003	2.804478e+000
2.643086233369425e-003	2.826930e+000
2.648666590512282e-003	2.848940e+000
2.654246947655139e-003	2.870508e+000
2.659827304797996e-003	2.891633e+000
2.665407661940853e-003	2.912317e+000
2.670988019083710e-003	2.932558e+000
2.680753644083710e-003	2.966574e+000
2.685636456583710e-003	2.982932e+000
2.692611903012281e-003	3.005605e+000
2.699587349440852e-003	3.027210e+000
2.706562795869424e-003	3.047749e+000
2.713538242297995e-003	3.067221e+000
2.720513688726567e-003	3.085625e+000
2.727489135155138e-003	3.102963e+000
2.734464581583709e-003	3.119234e+000
2.740044938726566e-003	3.131355e+000
2.745625295869423e-003	3.142670e+000
2.751205653012280e-003	3.153178e+000
2.756786010155137e-003	3.162879e+000
2.762366367297994e-003	3.171775e+000
2.767946724440851e-003	3.179863e+000
2.773527081583708e-003	3.187146e+000
2.779804983369422e-003	3.194315e+000
2.786082885155136e-003	3.200387e+000
2.792360786940850e-003	3.205363e+000
2.798638688726565e-003	3.209242e+000
2.804916590512279e-003	3.212024e+000
2.811194492297993e-003	3.213709e+000
2.817472394083707e-003	3.214298e+000
2.827238019083707e-003	3.213087e+000
2.834616236898204e-003	3.210390e+000
2.834644040138380e-003	3.210377e+000
2.834727648473312e-003	3.210337e+000
2.834783652182474e-003	3.210310e+000
2.834801304671186e-003	3.210293e+000
2.834813074876662e-003	3.210258e+000
2.834818457462076e-003	3.210217e+000
2.834822673940606e-003	3.210157e+000
2.834827912023663e-003	3.210040e+000
2.834834508706833e-003	3.209832e+000
2.834842548778876e-003	3.209514e+000
2.834851154117186e-003	3.209145e+000
2.834859076422877e-003	3.208820e+000
2.834864997857798e-003	3.208612e+000
2.834868570376846e-003	3.208522e+000
2.834872230994907e-003	3.208467e+000
2.834875074360554e-003	3.208442e+000
2.834877897385601e-003	3.208427e+000
2.834880937971547e-003	3.208416e+000
2.834884962969442e-003	3.208405e+000
2.834889612428980e-003	3.208395e+000
2.834895989558079e-003	3.208382e+000
2.834904076963947e-003	3.208368e+000
2.834917018760899e-003	3.208347e+000
2.834937421670821e-003	3.208315e+000
2.834960657466046e-003	3.208281e+000
2.834988717459471e-003	3.208242e+000
2.835015304277617e-003	3.208207e+000
2.835055279887324e-003	3.208156e+000
2.835098968030305e-003	3.208104e+000
2.835150899488167e-003	3.208045e+000
2.835210385717592e-003	3.207980e+000
2.835273159452829e-003	3.207915e+000
2.835398180644464e-003	3.207796e+000
2.835526710840287e-003	3.207684e+000
2.835644818586229e-003	3.207588e+000
2.835778405913385e-003	3.207486e+000
2.835924583686094e-003	3.207378e+000
2.836060551388657e-003	3.207278e+000
2.836220882736873e-003	3.207160e+000
2.836400674949907e-003	3.207027e+000
2.836534031957147e-003	3.206930e+000
2.836863706998355e-003	3.206705e+000
2.837105382492627e-003	3.206549e+000
2.837289889093671e-003	3.206432e+000
2.837522857615418e-003	3.206283e+000
2.837744664592884e-003	3.206141e+000
2.837946771810292e-003	3.206012e+000
2.838190241061867e-003	3.205859e+000
2.838452261015898e-003	3.205703e+000
2.838780189231088e-003	3.205514e+000
2.839108169226682e-003	3.205326e+000
2.839459578402068e-003	3.205123e+000
2.839832977722253e-003	3.204905e+000
2.840252099291634e-003	3.204658e+000
2.840701637422640e-003	3.204388e+000
2.844363696438035e-003	3.201914e+000
2.848025755453430e-003	3.199032e+000
2.851687814468825e-003	3.195740e+000
2.855349873484220e-003	3.192040e+000
2.859011932499615e-003	3.187931e+000
2.862673991515010e-003	3.183413e+000
2.866336050530405e-003	3.178486e+000
2.871218863030405e-003	3.171329e+000
2.876101675530405e-003	3.163536e+000
2.880984488030405e-003	3.155106e+000
2.885867300530405e-003	3.146041e+000
2.890750113030405e-003	3.136339e+000
2.895632925530405e-003	3.126001e+000
2.900515738030404e-003	3.115027e+000
2.910281363030404e-003	3.091101e+000
2.920046988030404e-003	3.065207e+000
2.929812613030404e-003	3.037346e+000
2.939578238030404e-003	3.007517e+000
2.949343863030403e-003	2.975720e+000
2.959109488030403e-003	2.941956e+000
2.968875113030403e-003	2.906224e+000
2.975153014816117e-003	2.882536e+000
2.981430916601831e-003	2.858351e+000
2.987708818387545e-003	2.833670e+000
2.993986720173260e-003	2.808491e+000
3.000264621958974e-003	2.782816e+000
3.006542523744688e-003	2.756644e+000
3.012820425530402e-003	2.729976e+000
3.019795871958973e-003	2.699892e+000
3.026771318387544e-003	2.669573e+000
3.033746764816116e-003	2.639021e+000
3.040722211244687e-003	2.608235e+000
3.047697657673259e-003	2.577216e+000
3.054673104101830e-003	2.545962e+000
3.061648550530401e-003	2.514474e+000
3.071414175530401e-003	2.470165e+000
3.081179800530401e-003	2.426381e+000
3.090945425530400e-003	2.383121e+000
3.100711050530400e-003	2.340386e+000
3.110476675530400e-003	2.298175e+000
3.120242300530400e-003	2.256490e+000
3.130007925530400e-003	2.215328e+000
3.140471095173257e-003	2.172443e+000
3.150934264816113e-003	2.131399e+000
3.161397434458970e-003	2.092197e+000
3.171860604101827e-003	2.054838e+000
3.182323773744684e-003	2.019321e+000
3.192786943387541e-003	1.985646e+000
3.203250113030398e-003	1.953813e+000
3.208132925530398e-003	1.939916e+000
3.213015738030398e-003	1.926577e+000
3.217898550530398e-003	1.913797e+000
3.222781363030398e-003	1.901575e+000
3.227664175530397e-003	1.889912e+000
3.232546988030397e-003	1.878807e+000
3.237429800530397e-003	1.868261e+000
3.244136563295064e-003	1.854759e+000
3.250843326059730e-003	1.842443e+000
3.257550088824397e-003	1.831312e+000
3.264256851589063e-003	1.821368e+000
3.270963614353729e-003	1.812609e+000
3.277670377118396e-003	1.805036e+000
3.284377139883062e-003	1.798649e+000
3.286312874805191e-003	1.797041e+000
3.288248609727321e-003	1.795539e+000
3.290184344649450e-003	1.794144e+000
3.292120079571579e-003	1.792855e+000
3.294055814493708e-003	1.791672e+000
3.295991549415837e-003	1.790596e+000
3.297927284337966e-003	1.789626e+000
3.300738865444468e-003	1.788442e+000
